CRV15_RS10290	K02946
CRV15_RS34640	K21161
CRV15_RS34650	K21163
CRV15_RS34660	K15315
CRV15_RS34665	K21185
CRV15_RS34670	K21164
CRV15_RS34685	K21165
CRV15_RS34690	K21166
CRV15_RS34705	K21159
CRV15_RS34345	K00612
CRV15_RS34385	K00261
CRV15_RS34390	K05375
CRV15_RS34400	K01817
CRV15_RS34405	K21782
CRV15_RS34410	K06720
CRV15_RS34415	K01695
CRV15_RS34420	K00766
CRV15_RS04130	K02342
CRV15_RS04120	K02025
CRV15_RS04115	K02026
CRV15_RS04085	K15554
CRV15_RS04075	K15553
CRV15_RS04070	K00956
CRV15_RS04065	K00957
CRV15_RS04055	K00390
CRV15_RS04045	K00392
CRV15_RS18690	K13288
CRV15_RS18710	K00820
CRV15_RS18735	K27501
CRV15_RS18740	K13745
CRV15_RS18755	K01640
CRV15_RS18760	K01968
CRV15_RS18765	K01969
CRV15_RS21705	K03149
CRV15_RS21695	K01151
CRV15_RS21685	K03594
CRV15_RS21680	K02192
CRV15_RS21675	K01626
CRV15_RS21665	K21071
CRV15_RS21650	K00655
CRV15_RS21620	K01551
CRV15_RS21605	K01897
CRV15_RS05385	K12574
CRV15_RS05390	K01714
CRV15_RS05395	K03465
CRV15_RS05415	K00215
CRV15_RS05425	K00962
CRV15_RS05430	K02956
CRV15_RS05440	K27086
CRV15_RS05445	K14956
CRV15_RS05470	K14743
CRV15_RS08995	K00505
CRV15_RS08980	K06015
CRV15_RS08930	K02282
CRV15_RS08915	K02283
CRV15_RS08910	K12510
CRV15_RS08905	K12511
CRV15_RS04250	K09930
CRV15_RS04225	K04063
CRV15_RS04220	K04063
CRV15_RS04200	K01924
CRV15_RS04195	K07305
CRV15_RS24215	K00145
CRV15_RS24220	K00620
CRV15_RS24225	K00930
CRV15_RS24230	K00821
CRV15_RS24235	K03402
CRV15_RS24240	K01940
CRV15_RS24245	K01755
CRV15_RS24285	K02071
CRV15_RS24290	K02072
CRV15_RS24295	K02073
CRV15_RS23380	K00945
CRV15_RS23375	K04517
CRV15_RS23370	K06208
CRV15_RS23355	K03574
CRV15_RS23350	K06178
CRV15_RS26250	K14956
CRV15_RS26240	K27085
CRV15_RS26235	K27087
CRV15_RS26730	K02026
CRV15_RS26750	K23980
CRV15_RS26790	K01738
CRV15_RS23850	K00548
CRV15_RS23840	K02440
CRV15_RS23835	K00864
CRV15_RS23820	K02057
CRV15_RS23800	K18334
CRV15_RS27260	K03088
CRV15_RS27210	K22818
CRV15_RS33485	K20081
CRV15_RS33490	K20078
CRV15_RS33500	K20075
CRV15_RS33520	K01710
CRV15_RS26640	K02172
CRV15_RS26660	K01126
CRV15_RS26685	K03521
CRV15_RS26695	K03522
CRV15_RS11980	K10843
CRV15_RS12005	K03088
CRV15_RS12050	K06201
CRV15_RS09685	K00600
CRV15_RS09690	K00819
CRV15_RS09705	K00375
CRV15_RS09755	K00024
CRV15_RS19425	K00058
CRV15_RS19415	K04564
CRV15_RS19390	K00133
CRV15_RS02580	K06996
CRV15_RS02570	K03921
CRV15_RS27160	K04477
CRV15_RS27150	K01114
CRV15_RS27135	K07695
CRV15_RS27130	K05916
CRV15_RS27125	K13771
CRV15_RS27120	K21815
CRV15_RS13920	K02469
CRV15_RS13935	K03629
CRV15_RS13940	K00033
CRV15_RS13945	K02338
CRV15_RS18505	K02566
CRV15_RS18570	K02028
CRV15_RS18575	K02029
CRV15_RS18580	K02029
CRV15_RS19690	K09710
CRV15_RS19695	K22306
CRV15_RS19730	K25232
CRV15_RS03905	K00156
CRV15_RS15425	K00133
CRV15_RS15420	K00928
CRV15_RS15410	K06187
CRV15_RS28090	K16028
CRV15_RS28080	K16026
CRV15_RS28075	K16025
CRV15_RS28070	K16024
CRV15_RS02865	K01546
CRV15_RS02855	K01548
CRV15_RS16540	K03696
CRV15_RS16525	K26249
CRV15_RS16520	K00619
CRV15_RS02410	K09692
CRV15_RS02435	K01784
CRV15_RS02440	K16264
CRV15_RS22185	K00059
CRV15_RS22195	K00626
CRV15_RS14275	K01875
CRV15_RS14250	K01992
CRV15_RS14245	K01990
CRV15_RS14240	K01992
CRV15_RS06190	K03761
CRV15_RS06185	K01649
CRV15_RS30820	K02078
CRV15_RS09570	K11250
CRV15_RS19305	K01222
CRV15_RS19310	K02026
CRV15_RS19315	K02025
CRV15_RS19320	K02027
CRV15_RS25785	K00648
CRV15_RS25760	K19106
CRV15_RS09610	K00241
CRV15_RS09615	K00242
CRV15_RS09620	K00239
CRV15_RS09625	K00240
CRV15_RS22875	K06720
CRV15_RS22880	K00836
CRV15_RS05845	K02884
CRV15_RS05855	K02860
CRV15_RS05860	K06960
CRV15_RS05865	K02959
CRV15_RS00800	K03392
CRV15_RS00770	K03521
CRV15_RS37400	K03704
CRV15_RS11940	K11785
CRV15_RS00130	K19577
CRV15_RS16650	K03088
CRV15_RS10825	K09771
CRV15_RS10845	K14415
CRV15_RS25090	K02777
CRV15_RS25085	K08483
CRV15_RS25075	K01907
CRV15_RS15355	K15372
CRV15_RS27835	K13787
CRV15_RS26860	K09958
CRV15_RS27770	K01183
CRV15_RS27900	K06903
CRV15_RS01485	K05847
CRV15_RS01480	K05846
CRV15_RS01470	K05845
CRV15_RS28085	K16027
CRV15_RS28035	K00645
CRV15_RS28030	K20420
CRV15_RS28020	K07148
CRV15_RS27930	K06907
CRV15_RS27805	K18544
CRV15_RS27800	K07148
CRV15_RS27750	K07090
CRV15_RS27705	K17910
CRV15_RS27690	K01673
CRV15_RS27500	K25286
CRV15_RS27495	K23186
CRV15_RS27490	K23187
CRV15_RS27460	K25589
CRV15_RS27435	K02029
CRV15_RS27420	K12257
CRV15_RS27400	K01434
CRV15_RS27370	K10187
CRV15_RS27350	K07068
CRV15_RS27325	K07300
CRV15_RS27320	K01897
CRV15_RS27300	K12132
CRV15_RS27285	K27088
CRV15_RS27240	K01480
CRV15_RS27225	K04655
CRV15_RS27220	K04656
CRV15_RS27195	K03090
CRV15_RS27145	K07682
CRV15_RS27100	K21262
CRV15_RS27085	K23775
CRV15_RS27045	K09251
CRV15_RS27025	K01992
CRV15_RS26990	K05879
CRV15_RS26930	K01847
CRV15_RS26925	K01847
CRV15_RS26920	K07588
CRV15_RS26835	K03820
CRV15_RS26775	K07058
CRV15_RS26720	K02027
CRV15_RS26715	K07407
CRV15_RS26710	K25026
CRV15_RS26440	K04656
CRV15_RS26425	K04655
CRV15_RS26385	K04079
CRV15_RS26345	K07654
CRV15_RS26320	K02004
CRV15_RS26310	K12942
CRV15_RS26305	K01295
CRV15_RS26300	K21377
CRV15_RS26230	K27086
CRV15_RS26175	K02015
CRV15_RS26165	K25286
CRV15_RS26030	K04043
CRV15_RS25920	K00648
CRV15_RS25865	K00175
CRV15_RS25850	K06994
CRV15_RS25835	K22463
CRV15_RS25815	K24411
CRV15_RS25775	K01586
CRV15_RS25710	K10805
CRV15_RS25705	K00432
CRV15_RS25665	K01462
CRV15_RS25650	K21071
CRV15_RS25645	K02351
CRV15_RS25630	K13787
CRV15_RS25615	K00655
CRV15_RS25605	K03190
CRV15_RS25600	K03189
CRV15_RS25595	K03188
CRV15_RS25590	K01428
CRV15_RS25570	K01358
CRV15_RS25555	K00652
CRV15_RS25550	K01012
CRV15_RS25545	K00833
CRV15_RS25540	K01935
CRV15_RS25525	K03699
CRV15_RS25520	K03699
CRV15_RS25475	K00375
CRV15_RS25445	K00059
CRV15_RS25435	K03547
CRV15_RS25415	K06929
CRV15_RS25390	K06945
CRV15_RS25355	K02358
CRV15_RS25340	K06153
CRV15_RS25325	K11391
CRV15_RS37735	K03810
CRV15_RS25260	K01278
CRV15_RS25155	K02346
CRV15_RS25145	K08999
CRV15_RS25050	K02440
CRV15_RS25045	K00864
CRV15_RS25040	K06945
CRV15_RS24975	K01469
CRV15_RS24965	K06867
CRV15_RS24940	K01126
CRV15_RS24935	K06902
CRV15_RS24925	K07113
CRV15_RS24920	K00721
CRV15_RS24870	K03699
CRV15_RS24840	K14652
CRV15_RS24775	K26110
CRV15_RS24740	K03500
CRV15_RS24735	K00604
CRV15_RS24695	K00942
CRV15_RS24660	K01465
CRV15_RS24610	K00891
CRV15_RS24605	K01736
CRV15_RS24595	K07082
CRV15_RS24590	K07447
CRV15_RS24585	K01872
CRV15_RS24560	K07478
CRV15_RS24495	K03550
CRV15_RS24370	K00826
CRV15_RS24320	K02302
CRV15_RS24305	K00595
CRV15_RS24265	K01126
CRV15_RS24255	K08167
CRV15_RS24175	K00031
CRV15_RS24135	K01890
CRV15_RS24130	K01889
CRV15_RS24120	K03437
CRV15_RS24115	K02887
CRV15_RS24110	K02916
CRV15_RS24105	K02520
CRV15_RS24050	K16238
CRV15_RS24000	K01669
CRV15_RS23995	K03727
CRV15_RS23985	K03118
CRV15_RS23910	K20814
CRV15_RS23895	K05337
CRV15_RS23885	K07442
CRV15_RS23830	K00111
CRV15_RS23815	K02056
CRV15_RS23810	K10439
CRV15_RS23790	K15526
CRV15_RS23700	K20219
CRV15_RS23595	K00451
CRV15_RS23585	K18289
CRV15_RS23520	K03933
CRV15_RS23495	K00662
CRV15_RS23490	K06871
CRV15_RS23465	K09164
CRV15_RS23440	K00252
CRV15_RS23435	K08167
CRV15_RS23405	K21687
CRV15_RS23340	K05896
CRV15_RS23330	K03496
CRV15_RS23300	K09684
CRV15_RS23290	K03631
CRV15_RS23285	K00858
CRV15_RS23280	K06442
CRV15_RS23070	K03639
CRV15_RS23035	K02342
CRV15_RS23015	K00059
CRV15_RS22960	K06889
CRV15_RS22950	K03306
CRV15_RS22935	K02232
CRV15_RS22930	K03404
CRV15_RS22925	K19221
CRV15_RS22920	K02224
CRV15_RS22885	K06718
CRV15_RS22865	K10680
CRV15_RS22850	K09702
CRV15_RS22845	K14519
CRV15_RS22790	K01505
CRV15_RS22770	K07260
CRV15_RS22760	K18351
CRV15_RS22750	K07004
CRV15_RS22680	K09013
CRV15_RS22675	K05710
CRV15_RS22600	K01057
CRV15_RS22590	K09167
CRV15_RS22585	K01810
CRV15_RS22575	K03075
CRV15_RS22535	K06958
CRV15_RS22505	K00847
CRV15_RS22470	K03702
CRV15_RS22460	K01126
CRV15_RS22455	K00567
CRV15_RS22370	K03579
CRV15_RS22325	K01998
CRV15_RS22320	K01995
CRV15_RS22265	K04092
CRV15_RS22255	K12308
CRV15_RS22190	K22108
CRV15_RS22160	K00266
CRV15_RS22155	K00265
CRV15_RS22115	K00852
CRV15_RS22105	K01644
CRV15_RS22100	K13292
CRV15_RS22090	K01695
CRV15_RS22085	K01696
CRV15_RS22055	K01657
CRV15_RS22050	K01496
CRV15_RS22035	K02500
CRV15_RS22020	K02501
CRV15_RS21985	K03976
CRV15_RS21870	K05810
CRV15_RS21845	K03588
CRV15_RS21825	K01928
CRV15_RS21820	K03587
CRV15_RS21765	K01421
CRV15_RS21740	K00297
CRV15_RS21735	K00788
CRV15_RS21715	K03153
CRV15_RS21710	K03154
CRV15_RS21700	K12132
CRV15_RS21670	K13063
CRV15_RS21630	K25026
CRV15_RS21570	K21471
CRV15_RS21555	K07059
CRV15_RS21460	K00856
CRV15_RS21345	K01255
CRV15_RS21335	K00627
CRV15_RS21205	K07140
CRV15_RS21165	K03576
CRV15_RS21085	K01286
CRV15_RS20970	K22552
CRV15_RS20965	K01950
CRV15_RS20950	K18232
CRV15_RS20905	K21480
CRV15_RS20875	K25133
CRV15_RS20870	K10834
CRV15_RS20865	K07243
CRV15_RS20835	K07552
CRV15_RS20775	K10228
CRV15_RS20725	K01625
CRV15_RS20715	K22316
CRV15_RS20710	K07164
CRV15_RS20690	K00121
CRV15_RS20620	K00128
CRV15_RS20595	K01552
CRV15_RS20575	K15981
CRV15_RS20560	K21481
CRV15_RS20525	K15977
CRV15_RS20370	K00163
CRV15_RS20320	K06911
CRV15_RS20185	K02017/K02018
CRV15_RS20080	K02316
CRV15_RS20075	K00529
CRV15_RS20070	K01129
CRV15_RS19955	K01880
CRV15_RS19940	K09816
CRV15_RS19930	K00806
CRV15_RS19910	K01649
CRV15_RS19820	K08676
CRV15_RS19810	K09761
CRV15_RS36325	K02237
CRV15_RS19720	K01869
CRV15_RS19650	K00931
CRV15_RS19585	K05515
CRV15_RS19555	K11754
CRV15_RS19525	K01358
CRV15_RS19480	K26732
CRV15_RS19455	K01808
CRV15_RS19450	K11735
CRV15_RS19350	K00705
CRV15_RS19290	K02030
CRV15_RS19280	K14949
CRV15_RS19240	K00309
CRV15_RS19120	K26731
CRV15_RS18995	K01990
CRV15_RS18980	K00140
CRV15_RS18975	K03336
CRV15_RS18935	K03581
CRV15_RS18905	K02529
CRV15_RS18890	K01207
CRV15_RS18830	K27086
CRV15_RS18820	K27087
CRV15_RS18810	K01652
CRV15_RS18805	K25365
CRV15_RS18785	K10805
CRV15_RS18750	K11410
CRV15_RS18590	K02433
CRV15_RS18585	K02030
CRV15_RS18445	K25156
CRV15_RS18425	K11741
CRV15_RS18385	K01519
CRV15_RS18355	K02804
CRV15_RS18335	K02013
CRV15_RS18325	K02016
CRV15_RS18255	K00104
CRV15_RS18215	K07177
CRV15_RS18200	K07341
CRV15_RS18160	K12373
CRV15_RS18150	K17330
CRV15_RS18120	K00027
CRV15_RS18050	K02836
CRV15_RS18040	K08884
CRV15_RS18025	K10233
CRV15_RS18010	K15371
CRV15_RS17940	K08963
CRV15_RS17880	K09791
CRV15_RS17825	K24998
CRV15_RS17815	K00966
CRV15_RS17595	K03090
CRV15_RS17535	K01586
CRV15_RS17410	K03885
CRV15_RS17345	K12132
CRV15_RS17305	K02003
CRV15_RS17210	K00598
CRV15_RS17195	K00849
CRV15_RS17190	K01784
CRV15_RS17185	K00965
CRV15_RS17135	K00919
CRV15_RS17030	K01892
CRV15_RS16975	K02007
CRV15_RS16920	K22463
CRV15_RS16910	K22322
CRV15_RS16895	K03790
CRV15_RS16880	K03750
CRV15_RS16870	K01934
CRV15_RS16750	K02492
CRV15_RS16745	K01926
CRV15_RS16730	K03088
CRV15_RS16715	K01784
CRV15_RS16695	K04768
CRV15_RS16665	K01867
CRV15_RS16625	K01687
CRV15_RS16600	K04485
CRV15_RS16595	K07067
CRV15_RS16545	K07259
CRV15_RS16500	K03525
CRV15_RS16495	K00767
CRV15_RS16490	K00278
CRV15_RS16485	K01918
CRV15_RS16455	K00333
CRV15_RS16395	K03798
CRV15_RS16375	K07259
CRV15_RS16295	K17836
CRV15_RS16280	K06147
CRV15_RS16170	K03574
CRV15_RS16155	K20483
CRV15_RS15830	K00943
CRV15_RS15785	K06877
CRV15_RS15760	K12510
CRV15_RS15755	K02283
CRV15_RS15725	K01673
CRV15_RS15510	K13540
CRV15_RS15505	K00595
CRV15_RS15500	K05936
CRV15_RS15495	K05895
CRV15_RS15490	K02188
CRV15_RS15475	K06133
CRV15_RS15390	K01939
CRV15_RS15345	K14340
CRV15_RS15265	K01556
CRV15_RS15170	K03686
CRV15_RS15165	K03687
CRV15_RS15025	K02031/K02032
CRV15_RS15015	K02033
CRV15_RS14985	K26939
CRV15_RS14940	K01079
CRV15_RS14905	K22847
CRV15_RS14825	K14287
CRV15_RS14810	K19125
CRV15_RS14805	K19124
CRV15_RS14800	K19046
CRV15_RS14795	K19123
CRV15_RS14790	K07012
CRV15_RS14745	K14338
CRV15_RS14645	K01738
CRV15_RS14590	K03281
CRV15_RS14550	K03284
CRV15_RS14490	K25141
CRV15_RS14400	K25621
CRV15_RS14315	K04757
CRV15_RS14300	K07152
CRV15_RS14290	K14166
CRV15_RS14285	K15733
CRV15_RS14280	K04518
CRV15_RS14220	K07682
CRV15_RS13995	K03497
CRV15_RS13975	K03217
CRV15_RS13955	K02313
CRV15_RS13885	K21188
CRV15_RS13875	K00641
CRV15_RS13870	K12675
CRV15_RS13835	K13051
CRV15_RS13775	K01664
CRV15_RS13660	K02612
CRV15_RS13645	K02609
CRV15_RS13600	K00167
CRV15_RS13595	K09699
CRV15_RS13585	K03750
CRV15_RS13555	K02003
CRV15_RS13450	K06911
CRV15_RS13340	K03090
CRV15_RS13210	K04068
CRV15_RS12995	K23269
CRV15_RS12970	K00764
CRV15_RS12850	K01724
CRV15_RS12840	K01286
CRV15_RS12645	K02036
CRV15_RS12625	K03574
CRV15_RS12610	K15520
CRV15_RS12600	K01286
CRV15_RS12590	K01081
CRV15_RS12560	K08372
CRV15_RS12375	K07768
CRV15_RS12370	K07776
CRV15_RS12300	K07448
CRV15_RS12280	K00344
CRV15_RS12100	K22187
CRV15_RS11955	K01091
CRV15_RS11900	K12952
CRV15_RS11870	K01975
CRV15_RS11765	K20534
CRV15_RS11725	K00831
CRV15_RS11560	K06945
CRV15_RS11550	K20420
CRV15_RS11535	K07068
CRV15_RS11475	K27596
CRV15_RS11450	K01647
CRV15_RS11445	K00275
CRV15_RS11390	K01999
CRV15_RS11380	K01433
CRV15_RS11295	K16048
CRV15_RS11285	K01775
CRV15_RS11280	K01921
CRV15_RS11255	K24012
CRV15_RS11245	K07068
CRV15_RS11235	K00275
CRV15_RS11065	K09810
CRV15_RS11035	K11779
CRV15_RS10990	K07258
CRV15_RS10885	K07048
CRV15_RS10840	K01487
CRV15_RS10810	K09122
CRV15_RS10785	K06196
CRV15_RS10765	K03182
CRV15_RS10680	K21471
CRV15_RS10660	K00333
CRV15_RS10650	K00335
CRV15_RS10635	K00338
CRV15_RS10630	K00339
CRV15_RS10615	K00342
CRV15_RS10600	K06978
CRV15_RS10580	K01990
CRV15_RS10530	K00175
CRV15_RS10505	K00330
CRV15_RS10500	K00331
CRV15_RS10490	K00337
CRV15_RS10485	K00338
CRV15_RS10480	K00339
CRV15_RS10475	K00340
CRV15_RS10470	K00341
CRV15_RS10465	K00342
CRV15_RS10460	K00343
CRV15_RS10445	K03919
CRV15_RS10440	K00567
CRV15_RS10410	K01485
CRV15_RS10355	K02601
CRV15_RS10335	K02935
CRV15_RS10280	K02926
CRV15_RS10275	K02892
CRV15_RS10135	K06173
CRV15_RS10105	K00867
CRV15_RS10080	K23997
CRV15_RS10075	K01775
CRV15_RS10050	K14742
CRV15_RS10045	K03789
CRV15_RS10040	K25706
CRV15_RS09950	K00088
CRV15_RS09915	K03333
CRV15_RS09815	K01903
CRV15_RS09810	K01902
CRV15_RS09790	K11175
CRV15_RS09785	K00602
CRV15_RS09770	K01491
CRV15_RS09680	K01867
CRV15_RS09670	K16652
CRV15_RS09665	K16653
CRV15_RS09650	K07058
CRV15_RS09635	K07098
CRV15_RS09575	K01848
CRV15_RS09525	K01654
CRV15_RS09470	K03088
CRV15_RS09460	K08224
CRV15_RS09385	K00128
CRV15_RS09300	K01768
CRV15_RS09285	K01745
CRV15_RS09190	K03710
CRV15_RS09145	K06888
CRV15_RS08970	K00874
CRV15_RS08955	K03299
CRV15_RS08935	K02279
CRV15_RS08865	K09005
CRV15_RS08860	K02654
CRV15_RS08710	K03527
CRV15_RS08705	K00886
CRV15_RS08675	K01183
CRV15_RS08645	K00239
CRV15_RS08590	K15520
CRV15_RS08570	K15583
CRV15_RS08560	K01278
CRV15_RS08550	K15525
CRV15_RS08525	K22476
CRV15_RS08495	K00796
CRV15_RS08465	K03088
CRV15_RS08165	K09118
CRV15_RS08035	K17329
CRV15_RS08025	K17331
CRV15_RS07970	K01505
CRV15_RS07900	K02030
CRV15_RS07895	K00027
CRV15_RS07820	K01338
CRV15_RS07770	K21471
CRV15_RS07730	K05364
CRV15_RS07650	K03088
CRV15_RS07635	K02484
CRV15_RS07620	K05515
CRV15_RS07600	K02035
CRV15_RS07545	K12675
CRV15_RS07280	K00872
CRV15_RS07240	K25307
CRV15_RS07235	K00600
CRV15_RS07185	K02114
CRV15_RS07155	K01992
CRV15_RS07150	K01990
CRV15_RS07105	K01183
CRV15_RS07065	K07503
CRV15_RS06940	K05838
CRV15_RS06835	K00700
CRV15_RS06790	K03466
CRV15_RS37680	K06147
CRV15_RS06740	K01692
CRV15_RS06505	K04487
CRV15_RS06495	K00566
CRV15_RS06435	K06994
CRV15_RS06390	K01652
CRV15_RS06285	K17840
CRV15_RS06220	K01426
CRV15_RS06215	K14048
CRV15_RS06205	K01428
CRV15_RS06200	K10536
CRV15_RS06175	K01733
CRV15_RS06160	K01727
CRV15_RS06025	K00057
CRV15_RS06010	K00946
CRV15_RS05995	K07030
CRV15_RS05990	K03655
CRV15_RS05985	K08316
CRV15_RS05970	K07040
CRV15_RS05960	K03685
CRV15_RS05955	K10563
CRV15_RS05915	K03110
CRV15_RS05900	K03320
CRV15_RS05895	K04751
CRV15_RS05885	K03106
CRV15_RS05880	K03798
CRV15_RS05850	K00554
CRV15_RS05830	K03100
CRV15_RS05825	K03100
CRV15_RS05810	K07460
CRV15_RS05805	K07391
CRV15_RS05800	K04096
CRV15_RS05795	K02405
CRV15_RS05735	K06893
CRV15_RS05675	K11069
CRV15_RS05670	K11072
CRV15_RS05635	K07250
CRV15_RS05610	K00099
CRV15_RS05580	K04343
CRV15_RS05565	K09748
CRV15_RS05560	K02600
CRV15_RS05555	K07742
CRV15_RS05545	K09764
CRV15_RS05540	K02834
CRV15_RS05535	K03177
CRV15_RS05520	K02031
CRV15_RS05515	K02034
CRV15_RS05510	K02033
CRV15_RS05500	K02035
CRV15_RS05485	K27088
CRV15_RS05480	K27088
CRV15_RS05330	K00995
CRV15_RS05320	K27043
CRV15_RS05300	K05522
CRV15_RS05235	K10007
CRV15_RS05180	K00791
CRV15_RS05170	K01778
CRV15_RS05150	K03665
CRV15_RS05140	K00836
CRV15_RS05120	K01356
CRV15_RS05110	K00525
CRV15_RS05070	K03654
CRV15_RS05020	K02476
CRV15_RS04955	K00857
CRV15_RS04950	K06996
CRV15_RS04945	K01011
CRV15_RS04905	K02013
CRV15_RS04805	K06994
CRV15_RS04670	K03499
CRV15_RS04620	K01520
CRV15_RS04585	K01092
CRV15_RS04555	K01915
CRV15_RS04465	K01478
CRV15_RS04460	K00611
CRV15_RS04445	K02616
CRV15_RS04360	K10202
CRV15_RS04345	K10543
CRV15_RS04310	K00632
CRV15_RS04305	K03684
CRV15_RS04275	K00231
CRV15_RS04270	K00435
CRV15_RS04170	K05350
CRV15_RS04145	K06044
CRV15_RS04080	K15555
CRV15_RS04060	K00860
CRV15_RS04030	K09456
CRV15_RS03975	K14673
CRV15_RS03970	K14667
CRV15_RS03965	K14668
CRV15_RS03960	K14669
CRV15_RS03955	K14670
CRV15_RS03950	K14671
CRV15_RS03945	K14251
CRV15_RS03935	K06949
CRV15_RS03875	K02010
CRV15_RS03870	K02011
CRV15_RS03790	K24914
CRV15_RS37665	K24910
CRV15_RS03775	K24911
CRV15_RS03755	K00822
CRV15_RS03725	K00661
CRV15_RS03600	K16840
CRV15_RS03590	K18456
CRV15_RS03490	K00010
CRV15_RS03455	K14727
CRV15_RS03410	K00681
CRV15_RS03315	K00865
CRV15_RS03265	K00074
CRV15_RS03225	K16203
CRV15_RS03210	K01297
CRV15_RS03205	K01488
CRV15_RS03085	K06221
CRV15_RS03075	K06136
CRV15_RS03070	K06137
CRV15_RS03065	K06138
CRV15_RS03060	K06139
CRV15_RS03055	K15532
CRV15_RS03010	K00648
CRV15_RS02995	K10441
CRV15_RS02990	K10440
CRV15_RS02985	K10439
CRV15_RS02965	K01858
CRV15_RS02945	K07051
CRV15_RS02860	K01547
CRV15_RS02840	K26732
CRV15_RS02835	K07228
CRV15_RS02740	K07407
CRV15_RS02665	K02066
CRV15_RS02650	K02067
CRV15_RS02645	K02067
CRV15_RS02640	K02067
CRV15_RS02635	K02067
CRV15_RS02630	K02067
CRV15_RS02625	K18481
CRV15_RS02620	K18481
CRV15_RS02615	K18481
CRV15_RS02610	K18481
CRV15_RS02575	K18955
CRV15_RS02545	K05982
CRV15_RS02535	K01796
CRV15_RS02525	K01782
CRV15_RS02515	K18548
CRV15_RS02490	K00273
CRV15_RS02420	K00096
CRV15_RS02405	K09693
CRV15_RS02395	K02291
CRV15_RS02380	K06045
CRV15_RS02345	K07407
CRV15_RS02300	K06945
CRV15_RS02275	K02051
CRV15_RS02210	K16873
CRV15_RS02105	K01114
CRV15_RS01990	K22769
CRV15_RS01895	K09791
CRV15_RS01875	K16648
CRV15_RS01800	K07090
CRV15_RS01795	K18928
CRV15_RS01785	K00782
CRV15_RS01770	K02616
CRV15_RS01730	K00529
CRV15_RS01705	K22278
CRV15_RS01625	K23228
CRV15_RS01620	K23227
CRV15_RS01535	K02495
CRV15_RS01515	K10536
CRV15_RS01475	K05846
CRV15_RS01440	K00344
CRV15_RS01435	K13639
CRV15_RS01410	K01006
CRV15_RS01330	K01745
CRV15_RS01180	K00020
CRV15_RS01170	K00615
CRV15_RS01160	K19580
CRV15_RS01095	K01912
CRV15_RS01050	K01548
CRV15_RS01045	K01547
CRV15_RS01040	K01546
CRV15_RS01025	K07646
CRV15_RS00955	K00019
CRV15_RS00900	K00721
CRV15_RS00820	K00641
CRV15_RS00760	K07068
CRV15_RS00745	K05846
CRV15_RS00740	K05846
CRV15_RS00735	K05845
CRV15_RS00725	K01060
CRV15_RS00720	K05847
CRV15_RS00695	K00344
CRV15_RS00670	K02034
CRV15_RS00665	K02031
CRV15_RS00660	K02032
CRV15_RS00640	K09959
CRV15_RS00635	K00540
CRV15_RS00565	K05879
CRV15_RS00560	K05878
CRV15_RS00520	K10232
CRV15_RS00500	K03696
CRV15_RS00450	K03817
CRV15_RS00440	K00486
CRV15_RS00420	K25254
CRV15_RS00210	K00130
CRV15_RS00080	K01586
CRV15_RS28215	K03417
CRV15_RS28270	K01286
CRV15_RS28345	K02493
CRV15_RS28405	K27085
CRV15_RS28415	K27086
CRV15_RS28510	K20420
CRV15_RS28760	K06988
CRV15_RS29505	K22114
CRV15_RS29525	K02364
CRV15_RS29570	K00639
CRV15_RS30230	K06945
CRV15_RS30250	K22553
CRV15_RS30255	K03574
CRV15_RS30400	K02004
CRV15_RS30460	K03463
CRV15_RS30675	K02523
CRV15_RS30755	K25286
CRV15_RS30760	K23186
CRV15_RS30765	K23187
CRV15_RS30785	K21146
CRV15_RS31085	K14256
CRV15_RS31170	K18234
CRV15_RS31180	K01990
CRV15_RS31275	K01259
CRV15_RS31405	K14940
CRV15_RS31440	K15467
CRV15_RS31550	K07448
CRV15_RS31635	K22997
CRV15_RS31640	K07025
CRV15_RS31770	K23530
CRV15_RS31935	K23464
CRV15_RS32055	K01061
CRV15_RS32095	K01992
CRV15_RS32575	K01638
CRV15_RS32630	K00140
CRV15_RS32975	K02077
CRV15_RS33150	K05570
CRV15_RS33155	K05569
CRV15_RS33160	K05568
CRV15_RS33240	K01754
CRV15_RS33245	K14287
CRV15_RS33345	K03088
CRV15_RS33450	K20077
CRV15_RS33455	K20082
CRV15_RS33460	K16438
CRV15_RS33465	K16436
CRV15_RS33470	K13318
CRV15_RS33475	K16435
CRV15_RS33495	K20076
CRV15_RS33505	K20079
CRV15_RS33595	K20940
CRV15_RS33600	K00059
CRV15_RS33640	K01183
CRV15_RS33645	K01706
CRV15_RS33665	K06147
CRV15_RS33775	K12503
CRV15_RS33780	K18110
CRV15_RS33815	K13075
CRV15_RS33835	K12250
CRV15_RS33860	K06903
CRV15_RS33990	K00451
CRV15_RS34040	K01590
CRV15_RS34080	K15314
CRV15_RS34120	K03688
CRV15_RS34170	K27097
CRV15_RS34230	K06954
CRV15_RS34295	K01897
CRV15_RS34300	K00643
CRV15_RS34305	K06147
CRV15_RS34395	K01609
CRV15_RS34525	K01547
CRV15_RS34540	K02078
CRV15_RS34580	K00635
CRV15_RS34595	K10775
CRV15_RS34625	K08369
CRV15_RS34645	K21162
CRV15_RS34655	K15314
CRV15_RS34710	K21335
CRV15_RS34725	K24529
CRV15_RS34730	K13329
CRV15_RS34740	K08167
CRV15_RS34780	K15733
CRV15_RS34825	K01416
CRV15_RS34855	K15554
