From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_003957817.1	B5H0P0	unreviewed	B5H0P0_STRCL	Uncharacterized protein	SCLAV_4450	Streptomyces clavuligerus	158
WP_003957818.1	B5H0P1	unreviewed	B5H0P1_STRCL	DUF397 domain-containing protein	SCLAV_4449	Streptomyces clavuligerus	72
WP_003957820.1	B5H0P3	unreviewed	B5H0P3_STRCL	Activator of Hsp90 ATPase 1 family protein	SCLAV_4447	Streptomyces clavuligerus	152
WP_003957821.1	B5H0P4	unreviewed	B5H0P4_STRCL	Possible transcriptional regulator, ArsR family	SCLAV_4446	Streptomyces clavuligerus	116
WP_003957822.1	B5H0P5	unreviewed	B5H0P5_STRCL	L-glutamate gamma-semialdehyde dehydrogenase (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	rocA SCLAV_4445	Streptomyces clavuligerus	546
WP_003957823.1	B5H0P6	unreviewed	B5H0P6_STRCL	proline dehydrogenase (EC 1.5.5.2)	SCLAV_4444	Streptomyces clavuligerus	308
WP_003961951.1	E2Q7Y2	unreviewed	E2Q7Y2_STRCL	Transcriptional regulator	SCLAV_4443	Streptomyces clavuligerus	432
WP_003957828.1	B5H0Q1	unreviewed	B5H0Q1_STRCL	Acetolactate synthase small subunit (AHAS) (ALS) (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit)	ilvH SCLAV_4439	Streptomyces clavuligerus	175
WP_003961947.1	E2Q7X7	unreviewed	E2Q7X7_STRCL	Acetolactate synthase (EC 2.2.1.6)	ilvB1 SCLAV_4438	Streptomyces clavuligerus	620
WP_003961944.1	E2Q7X4	unreviewed	E2Q7X4_STRCL	Oxidoreductase	SCLAV_4435	Streptomyces clavuligerus	365
WP_003961943.1	E2Q7X3	unreviewed	E2Q7X3_STRCL	Oxidoreductase	SCLAV_4434	Streptomyces clavuligerus	379
WP_003961939.1	E2Q7W9	unreviewed	E2Q7W9_STRCL	Integral membrane protein	SCLAV_4430	Streptomyces clavuligerus	216
WP_003961938.1	E2Q7W8	unreviewed	E2Q7W8_STRCL	Acetyltransferase	SCLAV_4429	Streptomyces clavuligerus	191
WP_003961937.1	E2Q7W7	unreviewed	E2Q7W7_STRCL	Putative transmembrane transport protein	SCLAV_4428	Streptomyces clavuligerus	790
WP_003955857.1	B5GVI2	unreviewed	B5GVI2_STRCL	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	gatB SCLAV_4426	Streptomyces clavuligerus	503
WP_003961935.1	E2Q7W4	unreviewed	E2Q7W4_STRCL	Secreted protein	SCLAV_4425	Streptomyces clavuligerus	79
WP_003955855.1	B5GVI0	unreviewed	B5GVI0_STRCL	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA SCLAV_4424	Streptomyces clavuligerus	497
WP_003955854.1	B5GVH9	unreviewed	B5GVH9_STRCL	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	gatC SCLAV_4423	Streptomyces clavuligerus	98
WP_003961934.1	E2Q7W1	unreviewed	E2Q7W1_STRCL	Phosphodiesterase	SCLAV_4422	Streptomyces clavuligerus	723
WP_003955850.1	B5GVH5	unreviewed	B5GVH5_STRCL	Short chain dehydrogenase	SCLAV_4419	Streptomyces clavuligerus	235
WP_003955849.1	B5GVH4	unreviewed	B5GVH4_STRCL	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	SCLAV_4418	Streptomyces clavuligerus	179
WP_003961931.1	E2Q7V6	unreviewed	E2Q7V6_STRCL	Alpha/beta hydrolase	SCLAV_4417	Streptomyces clavuligerus	265
WP_003961930.1	E2Q7V5	unreviewed	E2Q7V5_STRCL	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA SCLAV_4416	Streptomyces clavuligerus	381
WP_003955846.1	B5GVH1	unreviewed	B5GVH1_STRCL	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	amiA SCLAV_4415	Streptomyces clavuligerus	249
WP_003961929.1	E2Q7V3	unreviewed	E2Q7V3_STRCL	Pyridoxal-phosphate-dependent aminotransferase (EC 2.8.1.7)	SCLAV_4414	Streptomyces clavuligerus	387
WP_003955843.1	B5GVG8	unreviewed	B5GVG8_STRCL	Activator of HSP90 ATPase 1 family protein	SCLAV_4412	Streptomyces clavuligerus	302
WP_003961927.1	E2Q7V0	unreviewed	E2Q7V0_STRCL	TesB-like acyl-CoA thioesterase 3	SCLAV_4411	Streptomyces clavuligerus	280
WP_003961926.1	E2Q7U9	unreviewed	E2Q7U9_STRCL	Putative membrane protein	SCLAV_4410	Streptomyces clavuligerus	220
WP_003955839.1	B5GVG4	unreviewed	B5GVG4_STRCL	Oligopeptide ABC transporter ATP-binding protein	SCLAV_4408	Streptomyces clavuligerus	376
WP_003955837.1	B5GVG2	unreviewed	B5GVG2_STRCL	Oligopeptide-binding lipoprotein	SCLAV_4406	Streptomyces clavuligerus	591
WP_003955836.1	B5GVG1	unreviewed	B5GVG1_STRCL	Oligopeptide transport integral membrane protein	SCLAV_4405	Streptomyces clavuligerus	333
WP_003955833.1	B5GVF8	unreviewed	B5GVF8_STRCL	Enhanced serine sensitivity protein SseB	SCLAV_4403	Streptomyces clavuligerus	272
WP_003961923.1	E2Q7U1	unreviewed	E2Q7U1_STRCL	Putative ATP/GTP-binding protein	SCLAV_4402	Streptomyces clavuligerus	225
WP_003955830.1	B5GVF5	unreviewed	B5GVF5_STRCL	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT SCLAV_4401	Streptomyces clavuligerus	371
WP_003955828.1	B5GVF3	unreviewed	B5GVF3_STRCL	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA SCLAV_4399	Streptomyces clavuligerus	419
WP_003955825.1	B5GVF0	unreviewed	B5GVF0_STRCL	Prophage protein	SCLAV_4397	Streptomyces clavuligerus	172
WP_003955824.1	B5GVE9	unreviewed	B5GVE9_STRCL	Nucleotidyltransferase	SCLAV_4396	Streptomyces clavuligerus	333
WP_003955823.1	B5GVE8	unreviewed	B5GVE8_STRCL	UBA/THIF-type NAD/FAD binding protein	SCLAV_4395	Streptomyces clavuligerus	587
WP_003961919.1	E2Q7T1	unreviewed	E2Q7T1_STRCL	Putative O-methyltransferase	SCLAV_4392	Streptomyces clavuligerus	342
WP_003955818.1	B5GVE3	unreviewed	B5GVE3_STRCL	Lantibiotic dehydratase domain-containing protein	SCLAV_4390	Streptomyces clavuligerus	1018
WP_003955817.1	B5GVE2	unreviewed	B5GVE2_STRCL	Putative lantibiotic	SCLAV_4389	Streptomyces clavuligerus	64
WP_003955816.1	B5GVE1	unreviewed	B5GVE1_STRCL	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase)	SCLAV_4388	Streptomyces clavuligerus	407
WP_003955813.1	B5GVD8	unreviewed	B5GVD8_STRCL	Phosphatase	SCLAV_4385	Streptomyces clavuligerus	234
WP_003955811.1	B5GVD6	unreviewed	B5GVD6_STRCL	Integrase family protein	SCLAV_4383	Streptomyces clavuligerus	485
WP_003955809.1	B5GVD4	unreviewed	B5GVD4_STRCL	FG-GAP repeat protein	SCLAV_4381	Streptomyces clavuligerus	440
WP_003955808.1	B5GVD3	unreviewed	B5GVD3_STRCL	Uncharacterized protein	SCLAV_4380	Streptomyces clavuligerus	89
WP_003955807.1	B5GVD2	unreviewed	B5GVD2_STRCL	Secreted protein	SCLAV_4379	Streptomyces clavuligerus	64
WP_003955806.1	B5GVD0	unreviewed	B5GVD0_STRCL	Erythropoiesis-stimulating protein	SCLAV_4377	Streptomyces clavuligerus	328
WP_003961913.1	E2Q7R4	unreviewed	E2Q7R4_STRCL	Putative membrane protein	SCLAV_4373	Streptomyces clavuligerus	335
WP_003955800.1	B5GVC5	unreviewed	B5GVC5_STRCL	GCN5-related N-acetyltransferase	SCLAV_4371	Streptomyces clavuligerus	218
WP_003961911.1	E2Q7R1	unreviewed	E2Q7R1_STRCL	40-residue YVTN family beta-propeller repeat protein	SCLAV_4370	Streptomyces clavuligerus	416
WP_003961910.1	E2Q7R0	unreviewed	E2Q7R0_STRCL	Polysaccharide deacetylase	SCLAV_4369	Streptomyces clavuligerus	263
WP_003961909.1	E2Q7Q9	unreviewed	E2Q7Q9_STRCL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	SCLAV_4368	Streptomyces clavuligerus	168
WP_003961908.1	E2Q7Q8	unreviewed	E2Q7Q8_STRCL	Putative enoyl-CoA hydratase (EC 4.2.1.17)	SCLAV_4367	Streptomyces clavuligerus	257
WP_003955794.1	B5GVB9	unreviewed	B5GVB9_STRCL	Lipoprotein	SCLAV_4364	Streptomyces clavuligerus	408
WP_003961906.1	E2Q7Q4	unreviewed	E2Q7Q4_STRCL	Putative ABC transporter ATPase and permease component	SCLAV_4363	Streptomyces clavuligerus	638
WP_003955792.1	B5GVB7	unreviewed	B5GVB7_STRCL	Putative ABC transporter ATPase and permease component	SCLAV_4362	Streptomyces clavuligerus	643
WP_003961904.1	E2Q7Q1	unreviewed	E2Q7Q1_STRCL	Putative monooxygenase	SCLAV_4360	Streptomyces clavuligerus	502
WP_003961902.1	E2Q7P9	unreviewed	E2Q7P9_STRCL	Putative hydrolytic protein	SCLAV_4358	Streptomyces clavuligerus	361
WP_003961901.1	E2Q6Y1	unreviewed	E2Q6Y1_STRCL	Putative sporulation protein K	SCLAV_4357	Streptomyces clavuligerus	917
WP_003961900.1	E2Q6Y0	unreviewed	E2Q6Y0_STRCL	Cell division-related protein	SCLAV_4356	Streptomyces clavuligerus	1541
WP_003961898.1	E2Q6X8	unreviewed	E2Q6X8_STRCL	Two component transcriptional regulator, LuxR family	SCLAV_4354	Streptomyces clavuligerus	231
WP_003961897.1	E2Q6X7	unreviewed	E2Q6X7_STRCL	Signal transduction histidine kinase	SCLAV_4353	Streptomyces clavuligerus	545
WP_003961896.1	E2Q6X6	unreviewed	E2Q6X6_STRCL	Integrin-like protein	SCLAV_4352	Streptomyces clavuligerus	498
WP_003952356.1	B5GKX9	unreviewed	B5GKX9_STRCL	maltose alpha-D-glucosyltransferase (EC 5.4.99.16) (Maltose alpha-D-glucosyltransferase)	treS SCLAV_4349	Streptomyces clavuligerus	573
WP_003961893.1	E2Q6X1	unreviewed	E2Q6X1_STRCL	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB glgB2 SCLAV_4347	Streptomyces clavuligerus	750
WP_003952360.1	B5GKY3	unreviewed	B5GKY3_STRCL	DUF4259 domain-containing protein	SCLAV_4345	Streptomyces clavuligerus	132
WP_003952362.1	B5GKY5	unreviewed	B5GKY5_STRCL	histidine kinase (EC 2.7.13.3)	SCLAV_4343	Streptomyces clavuligerus	541
WP_003961890.1	E2Q6W6	unreviewed	E2Q6W6_STRCL	Transcriptional regulatory protein	SCLAV_4342	Streptomyces clavuligerus	225
WP_003961887.1	E2Q6W1	unreviewed	E2Q6W1_STRCL	Helix-turn-helix protein	SCLAV_4337	Streptomyces clavuligerus	361
WP_003961886.1	E2Q6W0	unreviewed	E2Q6W0_STRCL	Uncharacterized protein	SCLAV_4336	Streptomyces clavuligerus	104
WP_003952370.1	B5GKZ3	unreviewed	B5GKZ3_STRCL	ABC transporter permease protein	SCLAV_4334	Streptomyces clavuligerus	287
WP_003952371.1	B5GKZ4	unreviewed	B5GKZ4_STRCL	Integral membrane transport protein	SCLAV_4333	Streptomyces clavuligerus	291
WP_003952372.1	B5GKZ5	unreviewed	B5GKZ5_STRCL	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA SCLAV_4332	Streptomyces clavuligerus	341
WP_003952373.1	B5GKZ6	unreviewed	B5GKZ6_STRCL	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	SCLAV_4331	Streptomyces clavuligerus	694
WP_003952374.1	B5GKZ7	unreviewed	B5GKZ7_STRCL	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA SCLAV_4330	Streptomyces clavuligerus	409
WP_003952375.1	B5GKZ8	unreviewed	B5GKZ8_STRCL	Pyruvate kinase (EC 2.7.1.40)	SCLAV_4329	Streptomyces clavuligerus	474
WP_003961884.1	E2Q6V2	unreviewed	E2Q6V2_STRCL	Atrophin-1 domain-containing protein	SCLAV_4328	Streptomyces clavuligerus	569
WP_003952377.1	B5GL00	unreviewed	B5GL00_STRCL	Uncharacterized protein	SCLAV_4325	Streptomyces clavuligerus	217
WP_003961881.1	E2Q6U8	unreviewed	E2Q6U8_STRCL	Thioredoxin	SCLAV_4323	Streptomyces clavuligerus	324
WP_003952379.1	B5GL02	unreviewed	B5GL02_STRCL	TetR-family transcriptional regulator	SCLAV_4322	Streptomyces clavuligerus	212
WP_003952381.1	B5GL03	unreviewed	B5GL03_STRCL	methylmalonyl-CoA mutase (EC 5.4.99.2)	SCLAV_4321	Streptomyces clavuligerus	566
WP_003952383.1	B5GL05	unreviewed	B5GL05_STRCL	Regulator protein	SCLAV_4319	Streptomyces clavuligerus	169
WP_003961878.1	E2Q6U1	unreviewed	E2Q6U1_STRCL	DUF124 domain-containing protein	SCLAV_4316	Streptomyces clavuligerus	216
WP_003952388.1	B5GL09	unreviewed	B5GL09_STRCL	DUF124 domain-containing protein	SCLAV_4315	Streptomyces clavuligerus	264
WP_003952389.1	B5GL10	unreviewed	B5GL10_STRCL	MarR-family transcriptional regulator	SCLAV_4314	Streptomyces clavuligerus	158
WP_003952390.1	B5GL11	unreviewed	B5GL11_STRCL	histidine kinase (EC 2.7.13.3)	SCLAV_4313	Streptomyces clavuligerus	483
WP_003952391.1	B5GL12	unreviewed	B5GL12_STRCL	Putative two-component system response regulator	SCLAV_4312	Streptomyces clavuligerus	221
WP_003952392.1	B5GL13	unreviewed	B5GL13_STRCL	PepSY domain-containing protein	SCLAV_4311	Streptomyces clavuligerus	182
WP_003952393.1	B5GL14	unreviewed	B5GL14_STRCL	Transport system kinase (EC 2.7.-.-)	argK SCLAV_4310	Streptomyces clavuligerus	320
WP_003952394.1	B5GL15	unreviewed	B5GL15_STRCL	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9)	SCLAV_4309	Streptomyces clavuligerus	401
WP_003952395.1	B5GL16	unreviewed	B5GL16_STRCL	Methylmalonyl-CoA epimerase	SCLAV_4308	Streptomyces clavuligerus	142
WP_003952398.1	B5GL19	unreviewed	B5GL19_STRCL	Cellulose-binding protein	SCLAV_4305	Streptomyces clavuligerus	311
WP_003952399.1	B5GL20	unreviewed	B5GL20_STRCL	Putative ABC transporter ATP-binding protein	SCLAV_4304	Streptomyces clavuligerus	336
WP_003952400.1	B5GL21	unreviewed	B5GL21_STRCL	ABC transporter integral membrane subunit	SCLAV_4303	Streptomyces clavuligerus	260
WP_003952401.1	B5GL22	unreviewed	B5GL22_STRCL	ABC transporter ATP-binding protein	SCLAV_4302	Streptomyces clavuligerus	398
WP_003952402.1	B5GL23	unreviewed	B5GL23_STRCL	ABC transporter integral membrane protein	SCLAV_4301	Streptomyces clavuligerus	280
WP_003952404.1	B5GL24	unreviewed	B5GL24_STRCL	ATP/GTP-binding protein	SCLAV_4300	Streptomyces clavuligerus	108
WP_003952405.1	B5GL25	unreviewed	B5GL25_STRCL	Luciferase-family protein	SCLAV_4299	Streptomyces clavuligerus	342
WP_003952406.1	B5GL26	unreviewed	B5GL26_STRCL	Uncharacterized protein	SCLAV_4298	Streptomyces clavuligerus	130
WP_003961875.1	E2Q6S1	unreviewed	E2Q6S1_STRCL	Endonuclease NucS (EC 3.1.-.-)	nucS SCLAV_4296	Streptomyces clavuligerus	220
WP_003961874.1	E2Q6S0	unreviewed	E2Q6S0_STRCL	DUF605 multi-domain protein	SCLAV_4295	Streptomyces clavuligerus	852
WP_003952414.1	B5GL33	unreviewed	B5GL33_STRCL	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)	SCLAV_4292	Streptomyces clavuligerus	190
WP_003952417.1	B5GL36	unreviewed	B5GL36_STRCL	Two-component system response regulator	SCLAV_4289	Streptomyces clavuligerus	230
WP_003961869.1	E2Q6R3	unreviewed	E2Q6R3_STRCL	Chitinase C	SCLAV_4288	Streptomyces clavuligerus	585
WP_003961867.1	E2Q6R1	unreviewed	E2Q6R1_STRCL	Radical SAM domain protein	SCLAV_4286	Streptomyces clavuligerus	338
WP_003961865.1	E2Q6Q9	unreviewed	E2Q6Q9_STRCL	Glycosyl transferase group 1	SCLAV_4284	Streptomyces clavuligerus	461
WP_003961864.1	E2Q6Q8	unreviewed	E2Q6Q8_STRCL	LmbE family protein	SCLAV_4283	Streptomyces clavuligerus	236
WP_003952423.1	B5GL42	unreviewed	B5GL42_STRCL	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	SCLAV_4282	Streptomyces clavuligerus	327
WP_003961863.1	E2Q6Q6	unreviewed	E2Q6Q6_STRCL	Phosphoglycerate mutase (EC 5.4.2.1)	SCLAV_4281	Streptomyces clavuligerus	208
WP_003961862.1	E2Q6Q5	unreviewed	E2Q6Q5_STRCL	Type I phosphodiesterase/nucleotide pyrophosphatase	SCLAV_4280	Streptomyces clavuligerus	518
WP_003961861.1	E2Q6Q4	unreviewed	E2Q6Q4_STRCL	ABC transporter related protein	SCLAV_4279	Streptomyces clavuligerus	302
WP_003961860.1	E2Q6Q3	unreviewed	E2Q6Q3_STRCL	Transport permease protein	SCLAV_4278	Streptomyces clavuligerus	261
WP_003952427.1	B5GL46	unreviewed	B5GL46_STRCL	Polyketide synthase	SCLAV_4277	Streptomyces clavuligerus	81
WP_003952428.1	B5GL47	unreviewed	B5GL47_STRCL	Phosphatidylglycerophosphatase B	SCLAV_4276	Streptomyces clavuligerus	223
WP_003961859.1	E2Q6Q0	unreviewed	E2Q6Q0_STRCL	Putative mutT-like protein	SCLAV_4275	Streptomyces clavuligerus	170
WP_003952430.1	B5GL49	unreviewed	B5GL49_STRCL	Methyltransferase family protein	SCLAV_4274	Streptomyces clavuligerus	212
WP_003961858.1	E2Q6P8	unreviewed	E2Q6P8_STRCL	Putative secreted/membrane protein	SCLAV_4273	Streptomyces clavuligerus	153
WP_003961857.1	E2Q6P7	unreviewed	E2Q6P7_STRCL	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC SCLAV_4272	Streptomyces clavuligerus	127
WP_003952433.1	B5GL52	unreviewed	B5GL52_STRCL	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpB atpD SCLAV_4271	Streptomyces clavuligerus	481
WP_003952434.1	B5GL53	unreviewed	B5GL53_STRCL	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG SCLAV_4270	Streptomyces clavuligerus	305
WP_003952435.1	B5GL54	unreviewed	B5GL54_STRCL	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA1 atpA SCLAV_4269	Streptomyces clavuligerus	532
WP_003952436.1	B5GL55	unreviewed	B5GL55_STRCL	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH SCLAV_4268	Streptomyces clavuligerus	271
WP_003952437.1	B5GL56	unreviewed	B5GL56_STRCL	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF SCLAV_4267	Streptomyces clavuligerus	181
WP_003952438.1	B5GL57	unreviewed	B5GL57_STRCL	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE SCLAV_4266	Streptomyces clavuligerus	80
WP_003952438.1	A0A918Q3J2	unreviewed	A0A918Q3J2_9ACTN	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE GCM10010387_27340	Streptomyces inusitatus	80
WP_003952440.1	B5GL59	unreviewed	B5GL59_STRCL	ATP synthase I	SCLAV_4264	Streptomyces clavuligerus	145
WP_003952441.1	B5GL60	unreviewed	B5GL60_STRCL	Transferase (EC 2.7.8.-)	SCLAV_4263	Streptomyces clavuligerus	461
WP_003961855.1	E2Q6N7	unreviewed	E2Q6N7_STRCL	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA SCLAV_4262	Streptomyces clavuligerus	453
WP_003961854.1	E2Q6N6	unreviewed	E2Q6N6_STRCL	Tyrosine phosphatase (EC 3.1.3.48)	SCLAV_4261	Streptomyces clavuligerus	226
WP_003952444.1	B5GL63	unreviewed	B5GL63_STRCL	L-threonylcarbamoyladenylate synthase (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	SCLAV_4260	Streptomyces clavuligerus	215
WP_003952445.1	B5GL64	unreviewed	B5GL64_STRCL	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC SCLAV_4259	Streptomyces clavuligerus	281
WP_003952446.1	B5GL65	unreviewed	B5GL65_STRCL	Peptide chain release factor 1 (RF-1)	prfA SCLAV_4258	Streptomyces clavuligerus	356
WP_003952447.1	B5GL66	unreviewed	B5GL66_STRCL	Large ribosomal subunit protein bL31	rpmE SCLAV_4257	Streptomyces clavuligerus	74
WP_003961853.1	E2Q6N1	unreviewed	E2Q6N1_STRCL	Transcriptional regulator	SCLAV_4256	Streptomyces clavuligerus	401
WP_003961852.1	E2Q6N0	unreviewed	E2Q6N0_STRCL	Secreted trypsin-like protease	SCLAV_4255	Streptomyces clavuligerus	596
WP_003952450.1	B5GL69	unreviewed	B5GL69_STRCL	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho SCLAV_4254	Streptomyces clavuligerus	672
WP_003961850.1	E2Q6M7	unreviewed	E2Q6M7_STRCL	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB SCLAV_4252	Streptomyces clavuligerus	318
WP_003952452.1	B5GL71	unreviewed	B5GL71_STRCL	Threonine synthase (EC 4.2.3.1)	SCLAV_4251	Streptomyces clavuligerus	356
WP_003952454.1	B5GL73	unreviewed	B5GL73_STRCL	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA SCLAV_4249	Streptomyces clavuligerus	463
WP_003952455.1	B5GL74	unreviewed	B5GL74_STRCL	arginine--tRNA ligase (EC 6.1.1.19)	argS SCLAV_4248	Streptomyces clavuligerus	335
WP_003952459.1	B5GL78	unreviewed	B5GL78_STRCL	ATP-binding protein	SCLAV_4243	Streptomyces clavuligerus	491
WP_003961845.1	E2Q6L7	unreviewed	E2Q6L7_STRCL	DNA primase/polymerase bifunctional N-terminal domain-containing protein	SCLAV_4242	Streptomyces clavuligerus	280
WP_003952461.1	B5GL80	unreviewed	B5GL80_STRCL	PPM-type phosphatase domain-containing protein	SCLAV_4241	Streptomyces clavuligerus	248
WP_003952462.1	B5GL81	unreviewed	B5GL81_STRCL	Secreted protein	SCLAV_4240	Streptomyces clavuligerus	173
WP_003952463.1	B5GL82	unreviewed	B5GL82_STRCL	Uncharacterized protein	SCLAV_4239	Streptomyces clavuligerus	85
WP_003952464.1	B5GL83	unreviewed	B5GL83_STRCL	Uncharacterized protein	SCLAV_4238	Streptomyces clavuligerus	99
WP_003952465.1	B5GL84	unreviewed	B5GL84_STRCL	Integral membrane protein	SCLAV_4237	Streptomyces clavuligerus	168
WP_003961844.1	E2Q6L1	unreviewed	E2Q6L1_STRCL	Sporulation-related protein	SCLAV_4236	Streptomyces clavuligerus	675
WP_003952468.1	B5GL87	unreviewed	B5GL87_STRCL	Uncharacterized protein	SCLAV_4234	Streptomyces clavuligerus	78
WP_003952472.1	B5GL91	unreviewed	B5GL91_STRCL	Uncharacterized protein	SCLAV_4230	Streptomyces clavuligerus	89
WP_003961839.1	E2Q6K3	unreviewed	E2Q6K3_STRCL	Integral membrane plasmid transfer protein	SCLAV_4228	Streptomyces clavuligerus	153
WP_003952477.1	B5GL96	unreviewed	B5GL96_STRCL	Transcriptional regulator, GntR family	SCLAV_4225	Streptomyces clavuligerus	282
WP_003952478.1	B5GL97	unreviewed	B5GL97_STRCL	HAD-superfamily hydrolase	SCLAV_4224	Streptomyces clavuligerus	231
WP_003952481.1	B5GLA0	unreviewed	B5GLA0_STRCL	CopG family transcriptional regulator	SCLAV_4222	Streptomyces clavuligerus	88
WP_003952482.1	B5GLA1	unreviewed	B5GLA1_STRCL	DNA-binding protein	SCLAV_4221	Streptomyces clavuligerus	137
WP_003961835.1	E2Q5S9	unreviewed	E2Q5S9_STRCL	YD repeat-containing protein	SCLAV_4219	Streptomyces clavuligerus	2075
WP_003952486.1	B5GLA5	unreviewed	B5GLA5_STRCL	SclU-like protein	SCLAV_4217	Streptomyces clavuligerus	264
WP_003952491.1	O85724	unreviewed	O85724_STRCL	Efflux protein CmcT	cmcT	Streptomyces clavuligerus	489
WP_003952492.1	B5GLA9	unreviewed	B5GLA9_STRCL	aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)	pcd SCLAV_4212	Streptomyces clavuligerus	512
WP_003952493.1	B5GLB0	unreviewed	B5GLB0_STRCL	Deacetoxycephalosporin C synthetase (EC 1.14.20.1)	cefE SCLAV_4211	Streptomyces clavuligerus	311
WP_003952494.1	P18549	reviewed	CEFD_STRCL	Isopenicillin N epimerase (EC 5.1.1.17)	cefD	Streptomyces clavuligerus	398
WP_003952494.1	B5GLB1	unreviewed	B5GLB1_STRCL	Isopenicillin N epimerase (EC 5.1.1.17)	cefD SCLAV_4210	Streptomyces clavuligerus	398
WP_003952496.1	B5GLB3	unreviewed	B5GLB3_STRCL	Cephalosporin hydroxylase CmcI	cmcI SCLAV_4208	Streptomyces clavuligerus	236
WP_003952497.1	B5GLB4	unreviewed	B5GLB4_STRCL	Methyltransferase CmcJ	cmcJ SCLAV_4207	Streptomyces clavuligerus	310
WP_003952498.1	B5GLB5	unreviewed	B5GLB5_STRCL	Deacetoxycephalosporin C hydroxylase (EC 1.14.11.26)	cefF SCLAV_4206	Streptomyces clavuligerus	318
WP_003952499.1	O85728	reviewed	CMCH_STRCL	3'-hydroxymethylcephem-O-carbamoyltransferase (3'-hydroxymethylcephem-O-CASE) (CCT) (EC 2.1.3.-)	cmcH	Streptomyces clavuligerus	521
WP_003952499.1	B5GLB6	unreviewed	B5GLB6_STRCL	3'-hydroxymethylcephem-O-carbamoyltransferase (EC 2.1.3.-)	cmcH SCLAV_4205	Streptomyces clavuligerus	521
WP_003952500.1	B5GLB7	unreviewed	B5GLB7_STRCL	Positive regulator	ccaR SCLAV_4204	Streptomyces clavuligerus	262
WP_003952502.1	B5GLB9	unreviewed	B5GLB9_STRCL	ORF12 protein (Secreted protein)	ORF12 SCLAV_4203	Streptomyces clavuligerus	338
