contig,locus_tag,gene_name,start,end,strand,gene_biotype,product,protein_id,gene_ontology,Uniprot Entry,Uniprot Protein names,Uniprot Gene Names
chromosome,CRV15_RS12665,,3032570,3032758,-,protein_coding,hypothetical protein,WP_003953562.1,,,,
chromosome,CRV15_RS12670,,3032924,3033148,+,protein_coding,hypothetical protein,WP_003953563.1,,,,
chromosome,CRV15_RS12680,,3033632,3034384,-,protein_coding,phosphatase PAP2 family protein,WP_003953565.1,,B5GP91,Integral membrane protein,SCLAV_3159
chromosome,CRV15_RS12695,,3036987,3037295,+,protein_coding,hypothetical protein,WP_003953568.1,,B5GP94,Integral membrane protein,SCLAV_3156
chromosome,CRV15_RS12710,,3039799,3041364,+,protein_coding,SCO6880 family protein,WP_003953572.1,,B5GP98,Putative membrane protein,SCLAV_3153
chromosome,CRV15_RS12715,,3041379,3042818,+,protein_coding,ATP-binding protein,WP_003953574.1,,B5GP99,ATP/GTP-binding protein,SCLAV_3152
chromosome,CRV15_RS12720,,3042820,3044406,+,protein_coding,type IV secretory system conjugative DNA transfer family protein,WP_003953575.1,,B5GPA0,Type IV secretory pathway,SCLAV_3151
chromosome,CRV15_RS12750,,3051145,3052410,+,protein_coding,MFS transporter,WP_003953580.1,transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085],,,
chromosome,CRV15_RS12755,,3052505,3054319,-,protein_coding,SpoIIE family protein phosphatase,WP_003953581.1,phosphatase activity [GO:0016791],B5GPA5,Magnesium or manganese-dependent protein phosphatase,SCLAV_3148
chromosome,CRV15_RS12765,,3056261,3057079,+,protein_coding,helix-turn-helix domain-containing protein,WP_003953584.1,DNA binding [GO:0003677],B5GPA7,TetR-family transcriptional regulator,SCLAV_3146
chromosome,CRV15_RS16445,,3906750,3907715,+,protein_coding,ABC transporter substrate-binding protein,WP_003953586.1,,B5GPA9,Putative ABC transporter substrate-binding protein,SCLAV_2403
chromosome,CRV15_RS16440,,3906013,3906750,+,protein_coding,ABC transporter permease,WP_003953587.1,ATPase-coupled transmembrane transporter activity [GO:0042626]; ABC-type transporter activity [GO:0140359],B5GPB0,ABC transporter permease,SCLAV_2404
chromosome,CRV15_RS16435,,3905303,3906013,+,protein_coding,ABC transporter permease,WP_003953589.1,ATPase-coupled transmembrane transporter activity [GO:0042626]; ABC-type transporter activity [GO:0140359],,,
chromosome,CRV15_RS16430,,3904021,3905175,-,protein_coding,ATP-binding cassette domain-containing protein,WP_003953590.1,ATP binding [GO:0005524],,,
chromosome,CRV15_RS16425,folP,3903080,3903919,-,protein_coding,dihydropteroate synthase,WP_003953591.1,dihydropteroate synthase activity [GO:0004156]; folic acid-containing compound biosynthetic process [GO:0009396],,,
chromosome,CRV15_RS16420,,3902631,3903083,-,protein_coding,nuclear transport factor 2 family protein,WP_003953592.1,,B5GPB4,3-dehydroquinate dehydratase,SCLAV_2408
chromosome,CRV15_RS16410,folK,3901461,3902048,-,protein_coding,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,WP_003953593.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; folic acid-containing compound biosynthetic process [GO:0009396],B5GPB5,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase (EC 2.7.6.3),SCLAV_2410 folK
chromosome,CRV15_RS16405,,3900842,3901336,-,protein_coding,DUF3180 domain-containing protein,WP_003953594.1,,,,
chromosome,CRV15_RS16400,folE,3900138,3900743,+,protein_coding,GTP cyclohydrolase I FolE,WP_003953595.1,GTP cyclohydrolase I activity [GO:0003934]; pteridine-containing compound biosynthetic process [GO:0042559]; tetrahydrofolate biosynthetic process [GO:0046654],B5GPB7,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),SCLAV_2412 folE
chromosome,CRV15_RS16385,tilS,3895944,3897059,+,protein_coding,tRNA lysidine(34) synthetase TilS,WP_003953598.1,"ligase activity, forming carbon-nitrogen bonds [GO:0016879]; tRNA modification [GO:0006400]",B5GPC0,tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase),SCLAV_2415 tilS
chromosome,CRV15_RS16370,,3892333,3892827,-,protein_coding,inorganic diphosphatase,WP_003953602.1,,,,
chromosome,CRV15_RS16360,,3889540,3890352,+,protein_coding,DedA family protein,WP_003953605.1,transmembrane transport [GO:0055085],,,
chromosome,CRV15_RS16355,,3887867,3889291,-,protein_coding,glutamate decarboxylase,WP_003953606.1,glutamate decarboxylase activity [GO:0004351]; glutamate decarboxylation to succinate [GO:0006540],B5GPC6,Glutamate decarboxylase (EC 4.1.1.15),SCLAV_2421 gadB
chromosome,CRV15_RS16350,,3887096,3887737,+,protein_coding,PadR family transcriptional regulator,WP_003953607.1,DNA binding [GO:0003677],B5GPC7,Transcriptional regulator,SCLAV_2422
chromosome,CRV15_RS16335,,3883815,3885272,+,protein_coding,aldehyde dehydrogenase family protein,WP_003953610.1,oxidoreductase activity [GO:0016491],B5GPD0,Aldehyde dehydrogenase,SCLAV_2425
chromosome,CRV15_RS16325,,3881915,3882424,-,protein_coding,ATP-binding protein,WP_003953613.1,ATP binding [GO:0005524],B5GPD3,non-specific serine/threonine protein kinase (EC 2.7.11.1),SCLAV_2428
chromosome,CRV15_RS16320,,3881527,3881769,+,protein_coding,DUF397 domain-containing protein,WP_003953614.1,,,,
chromosome,CRV15_RS16315,,3880658,3881077,-,protein_coding,hypothetical protein,WP_003953616.1,,B5GPD6,Lipoprotein,SCLAV_2431
chromosome,CRV15_RS16290,,3874837,3875394,-,protein_coding,sugar O-acetyltransferase,WP_003953621.1,acetyltransferase activity [GO:0016407],B5GPE1,Maltose O-acetyltransferase (EC 2.3.1.79),SCLAV_2437
chromosome,CRV15_RS16275,,3868379,3869701,-,protein_coding,glycosyltransferase family 2 protein,WP_003953626.1,,B5GPE6,Glycosyl transferase (EC 2.4.1.212),SCLAV_2441
chromosome,CRV15_RS16250,,3863553,3864224,-,protein_coding,hypothetical protein,WP_003953631.1,,B5GPF1,Uncharacterized protein,SCLAV_2447
chromosome,CRV15_RS16240,,3860850,3862493,+,protein_coding,tyrosine-type recombinase/integrase,WP_003953633.1,DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA integration [GO:0015074],B5GPF3,Integrase family protein,SCLAV_2449
chromosome,CRV15_RS16235,,3860212,3860853,+,protein_coding,helix-turn-helix domain-containing protein,WP_003953634.1,,B5GPF4,Putative DNA-binding protein,SCLAV_2450
chromosome,CRV15_RS16230,,3859870,3860121,-,protein_coding,hypothetical protein,WP_003953635.1,,B5GPF5,Integrase,SCLAV_2451
chromosome,CRV15_RS16225,,3858846,3859742,+,protein_coding,aminoglycoside phosphotransferase family protein,WP_003953636.1,ATP binding [GO:0005524]; phosphorylation [GO:0016310],B5GPF6,Aminoglycoside phosphotransferase,SCLAV_2452
chromosome,CRV15_RS16215,,3857061,3857270,+,protein_coding,DUF397 domain-containing protein,WP_003953638.1,,,,
chromosome,CRV15_RS16185,,3853562,3854158,-,protein_coding,DUF6624 domain-containing protein,WP_003953644.1,,B5GPG4,Uncharacterized protein,SCLAV_2460
chromosome,CRV15_RS16180,,3852717,3853565,-,protein_coding,SAM-dependent methyltransferase,WP_003953645.1,,B5GPG5,DUF574 domain-containing protein,SCLAV_2461
chromosome,CRV15_RS16175,,3851696,3852610,-,protein_coding,hypothetical protein,WP_003953646.1,,B5GPG6,Endonuclease/exonuclease/phosphatase,SCLAV_2462
chromosome,CRV15_RS16165,fxlM,3849910,3851130,-,protein_coding,methyltransferase%2C FxLD system,WP_003953648.1,transferase activity [GO:0016740],,,
chromosome,CRV15_RS16150,,3845323,3846552,-,protein_coding,lanthionine synthetase C family protein,WP_003953651.1,,B5GPH1,Lanthionine synthetase C family protein,SCLAV_2467
chromosome,CRV15_RS16145,,3844469,3845305,-,protein_coding,thiopeptide-type bacteriocin biosynthesis protein,WP_003953652.1,,B5GPH2,Putative O-methyltransferase,SCLAV_2468
chromosome,CRV15_RS16140,,3843337,3844437,-,protein_coding,hypothetical protein,WP_003953653.1,,B5GPH3,Uncharacterized protein,SCLAV_2469
chromosome,CRV15_RS16115,,3838879,3839580,-,protein_coding,ATP-binding protein,WP_003953658.1,ATP binding [GO:0005524],B5GPH8,DNA replication protein DnaC,SCLAV_2474
chromosome,CRV15_RS16110,,3838219,3838791,-,protein_coding,WhiB family transcriptional regulator,WP_003953659.1,"DNA binding [GO:0003677]; metal ion binding [GO:0046872]; iron-sulfur cluster binding [GO:0051536]; 4 iron, 4 sulfur cluster binding [GO:0051539]",B5GPH9,Transcriptional regulator WhiB,SCLAV_2475 whiB
chromosome,CRV15_RS16105,,3837185,3838222,-,protein_coding,DUF2637 domain-containing protein,WP_003953660.1,,B5GPI0,DUF2637 domain-containing protein,SCLAV_2476
chromosome,CRV15_RS16100,,3836856,3837080,-,protein_coding,hypothetical protein,WP_003953661.1,,B5GPI1,Uncharacterized protein,SCLAV_2477
chromosome,CRV15_RS16070,,3833097,3833324,+,protein_coding,hypothetical protein,WP_003953667.1,,B5GPI7,Uncharacterized protein,SCLAV_2482
chromosome,CRV15_RS16055,,3831810,3832325,+,protein_coding,hypothetical protein,WP_003953670.1,,B5GPJ0,HNH endonuclease,SCLAV_2485
chromosome,CRV15_RS16035,,3829532,3830326,+,protein_coding,MarR family transcriptional regulator,WP_003953673.1,DNA-binding transcription factor activity [GO:0003700]; regulation of DNA-templated transcription [GO:0006355],B5GPJ3,HTH_IclR domain-containing protein,SCLAV_2489
chromosome,CRV15_RS16030,,3829022,3829516,+,protein_coding,hypothetical protein,WP_003953674.1,,B5GPJ4,Uncharacterized protein,SCLAV_2490
chromosome,CRV15_RS16025,,3828530,3828994,+,protein_coding,hypothetical protein,WP_003953675.1,,B5GPJ5,Uncharacterized protein,SCLAV_2491
chromosome,CRV15_RS16020,,3827727,3828533,+,protein_coding,hypothetical protein,WP_003953676.1,,B5GPJ6,Uncharacterized protein,SCLAV_2492
chromosome,CRV15_RS16015,,3827146,3827724,+,protein_coding,DUF4913 domain-containing protein,WP_003953677.1,,B5GPJ7,DUF4913 domain-containing protein,SCLAV_2493
chromosome,CRV15_RS36750,,3826877,3827044,+,protein_coding,hypothetical protein,WP_003953678.1,,,,
chromosome,CRV15_RS16005,,3825249,3825857,+,protein_coding,hypothetical protein,WP_003953680.1,,B5GPK0,Uncharacterized protein,SCLAV_2496
chromosome,CRV15_RS15990,,3821478,3821924,+,protein_coding,hypothetical protein,WP_003953683.1,,B5GPK3,Uncharacterized protein,SCLAV_2499
chromosome,CRV15_RS15985,,3820976,3821449,+,protein_coding,hypothetical protein,WP_003953684.1,,B5GPK4,Uncharacterized protein,SCLAV_2500
chromosome,CRV15_RS15970,,3818868,3819626,+,protein_coding,hypothetical protein,WP_003953686.1,,B5GPK6,Condensation domain-containing protein,SCLAV_2503
chromosome,CRV15_RS15965,,3818138,3818773,+,protein_coding,hypothetical protein,WP_003953687.1,,,,
chromosome,CRV15_RS35950,,3817962,3818135,+,protein_coding,hypothetical protein,WP_003953688.1,,,,
chromosome,CRV15_RS15950,,3814468,3815937,+,protein_coding,SCO6880 family protein,WP_003953692.1,,B5GPL1,Putative integral membrane protein,SCLAV_2508
chromosome,CRV15_RS15945,,3812903,3814381,+,protein_coding,hypothetical protein,WP_003953693.1,,,,
chromosome,CRV15_RS15940,,3812216,3812857,+,protein_coding,hypothetical protein,WP_003953694.1,,,,
chromosome,CRV15_RS15935,,3811824,3812132,+,protein_coding,DUF6112 family protein,WP_003953695.1,,B5GPL5,Putative integral membrane protein,SCLAV_2511
chromosome,CRV15_RS15930,,3810626,3811747,+,protein_coding,C40 family peptidase,WP_003953696.1,peptidase activity [GO:0008233]; hydrolase activity [GO:0016787]; proteolysis [GO:0006508],B5GPL6,Putative lipoprotein,SCLAV_2512
chromosome,CRV15_RS15925,,3809336,3810085,-,protein_coding,site-specific DNA-methyltransferase,WP_003953697.1,,B5GPL7,Methyltransferase (EC 2.1.1.-),SCLAV_2513
chromosome,CRV15_RS15910,,3806248,3806850,+,protein_coding,hypothetical protein,WP_003953700.1,,B5GPM0,GIY-YIG domain-containing protein,SCLAV_2516
chromosome,CRV15_RS15905,,3805275,3806108,+,protein_coding,phosphoadenosine phosphosulfate reductase family protein,WP_003953701.1,,B5GPM1,Phosphoadenosine phosphosulfate reductase,SCLAV_2517
chromosome,CRV15_RS15895,,3800618,3801715,+,protein_coding,DUF4007 family protein,WP_003953703.1,,B5GPM3,DUF4007 domain-containing protein,SCLAV_2519
chromosome,CRV15_RS15880,,3795454,3797322,-,protein_coding,ATP-binding protein,WP_003953706.1,,B5GPM6,DNA mismatch repair enzyme,SCLAV_2522
chromosome,CRV15_RS15875,,3794546,3795457,-,protein_coding,phospholipase D family protein,WP_003953707.1,,,,
chromosome,CRV15_RS15870,,3793722,3794399,-,protein_coding,hypothetical protein,WP_003953708.1,,B5GPM8,Uncharacterized protein,SCLAV_2524
chromosome,CRV15_RS15865,,3792723,3793523,-,protein_coding,hypothetical protein,WP_003953709.1,,B5GPM9,Phosphoadenosine phosphosulfate reductase,SCLAV_2525
chromosome,CRV15_RS15850,,3789708,3790019,+,protein_coding,nucleoside triphosphate pyrophosphohydrolase,WP_003953712.1,,B5GPN2,Phosphoribosyl-ATP pyrophosphohydrolase,SCLAV_2529
chromosome,CRV15_RS15840,,3786110,3787648,+,protein_coding,alpha/beta hydrolase,WP_003953714.1,hydrolase activity [GO:0016787],B5GPN4,Putative protease,SCLAV_2531
chromosome,CRV15_RS15835,,3784662,3785867,+,protein_coding,DNA polymerase III subunit delta',WP_003953715.1,DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; 3'-5' exonuclease activity [GO:0008408]; DNA replication [GO:0006260]; DNA polymerase III complex [GO:0009360],B5GPN5,DNA-directed DNA polymerase (EC 2.7.7.7),SCLAV_2532 holB
chromosome,CRV15_RS15815,,3777204,3777401,+,protein_coding,hypothetical protein,WP_003953721.1,,B5GPP1,Secreted protein,SCLAV_2536
chromosome,CRV15_RS15810,,3775361,3776875,+,protein_coding,methyltransferase,WP_003953722.1,methyltransferase activity [GO:0008168],B5GPP2,rRNA or tRNA methyltransferase,SCLAV_2537
chromosome,CRV15_RS15805,,3774648,3775241,+,protein_coding,hypothetical protein,WP_003953723.1,,,,
chromosome,CRV15_RS15800,,3771990,3774401,+,protein_coding,sodium-translocating pyrophosphatase,WP_003953724.1,,B5GPP4,K(+)-insensitive pyrophosphate-energized proton pump (EC 7.1.3.1) (Membrane-bound proton-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase),SCLAV_2539 hppA
chromosome,CRV15_RS15795,,3770968,3771399,+,protein_coding,ATP-binding protein,WP_003953725.1,phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673]; ATP binding [GO:0005524]; signal transduction [GO:0007165],B5GPP5,non-specific serine/threonine protein kinase (EC 2.7.11.1),SCLAV_2541
chromosome,CRV15_RS15790,,3770318,3770671,+,protein_coding,STAS domain-containing protein,WP_003953726.1,anti-sigma factor antagonist activity [GO:0043856],B5GPP6,Anti-sigma factor antagonist,SCLAV_2542
chromosome,CRV15_RS17320,,4114656,4115150,-,protein_coding,SigE family RNA polymerase sigma factor,WP_003953731.1,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355],B5GPQ1,RNA polymerase sigma factor,SCLAV_2228
chromosome,CRV15_RS17310,,4111344,4113923,+,protein_coding,ABC transporter permease,WP_003953733.1,membrane [GO:0016020],B5GPQ3,ABC transport system integral membrane protein,SCLAV_2230
chromosome,CRV15_RS17295,,4108940,4109194,-,protein_coding,DUF6332 family protein,WP_003953735.1,,,,
chromosome,CRV15_RS17270,,4101232,4101747,-,protein_coding,YwqJ-related putative deaminase,WP_003953743.1,,B5GPR3,YwqJ-like deaminase,SCLAV_2240
chromosome,CRV15_RS17265,,4100730,4101221,-,protein_coding,SUKH-3 domain-containing protein,WP_003953744.1,,B5GPR4,SUKH-3 domain containing protein,SCLAV_2241
chromosome,CRV15_RS17250,glmU,4097215,4098660,-,protein_coding,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,WP_003953746.1,magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; cell morphogenesis [GO:0000902]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]; peptidoglycan biosynthetic process [GO:0009252],B5GPR6,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],SCLAV_2243 glmU
chromosome,CRV15_RS17245,,4096125,4097099,-,protein_coding,ribose-phosphate diphosphokinase,WP_003953747.1,magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; cellular biosynthetic process [GO:0044249],B5GPR7,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),SCLAV_2244 kprS prs
chromosome,CRV15_RS17235,pth,4094536,4095135,-,protein_coding,aminoacyl-tRNA hydrolase,WP_003953750.1,aminoacyl-tRNA hydrolase activity [GO:0004045]; translation [GO:0006412],,,
chromosome,CRV15_RS17230,,4093980,4094432,-,protein_coding,hypothetical protein,WP_003953751.1,,B5GPS0,Integral membrane protein,SCLAV_2247
chromosome,CRV15_RS17225,ppc,4091116,4093845,+,protein_coding,phosphoenolpyruvate carboxylase,WP_003953752.1,phosphoenolpyruvate carboxylase activity [GO:0008964]; tricarboxylic acid cycle [GO:0006099]; carbon fixation [GO:0015977],B5GPS1,Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31),SCLAV_2248 ppc
chromosome,CRV15_RS17220,,4089908,4090894,-,protein_coding,fatty acid desaturase,WP_003953753.1,lipid metabolic process [GO:0006629],,,
chromosome,CRV15_RS17215,,4089228,4089908,-,protein_coding,TetR/AcrR family transcriptional regulator,WP_003953754.1,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of DNA-templated transcription [GO:0006355],B5GPS3,TetR-family transcriptional regulator,SCLAV_2250
chromosome,CRV15_RS17205,,4087209,4087706,-,protein_coding,MarR family transcriptional regulator,WP_003953756.1,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],B5GPS5,MarR-family regulator,SCLAV_2252
chromosome,CRV15_RS17165,,4076129,4077925,+,protein_coding,ABC-F family ATP-binding cassette domain-containing protein,WP_003953764.1,ATP binding [GO:0005524],B5GPT3,ABC transporter ATP-binding subunit,SCLAV_2260
chromosome,CRV15_RS17150,,4074051,4074437,-,protein_coding,hypothetical protein,WP_003953768.1,,B5GPT7,Polyketide cyclase,SCLAV_2264
chromosome,CRV15_RS17145,,4072726,4073973,-,protein_coding,helix-turn-helix transcriptional regulator,WP_003953769.1,DNA binding [GO:0003677],,,
chromosome,CRV15_RS17120,,4066966,4067835,+,protein_coding,TatD family hydrolase,WP_003953773.1,"hydrolase activity, acting on ester bonds [GO:0016788]",B5GPU2,Deoxyribonuclease (EC 3.1.21.-),SCLAV_2271
chromosome,CRV15_RS17115,,4066371,4066844,+,protein_coding,hypothetical protein,WP_003953774.1,,B5GPU3,Uncharacterized protein,SCLAV_2272
chromosome,CRV15_RS17100,,4063086,4064858,-,protein_coding,phospholipid carrier-dependent glycosyltransferase,WP_003953776.1,mannosyltransferase activity [GO:0000030]; protein O-linked glycosylation [GO:0006493]; membrane [GO:0016020],B5GPU5,Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109),SCLAV_2274
chromosome,CRV15_RS17090,,4062422,4062850,+,protein_coding,PPOX class F420-dependent oxidoreductase,WP_003953777.1,,B5GPU6,Putative pyridoxamine 5''''-phosphate oxidase-related protein,SCLAV_2275
chromosome,CRV15_RS17085,,4060578,4062176,-,protein_coding,penicillin-binding transpeptidase domain-containing protein,WP_003953778.1,penicillin binding [GO:0008658],B5GPU7,Penicillin-binding protein,SCLAV_2276
chromosome,CRV15_RS17080,,4059785,4060357,-,protein_coding,YbaK/EbsC family protein,WP_003953779.1,,B5GPU8,YbaK/prolyl-tRNA synthetase associated region,SCLAV_2277
chromosome,CRV15_RS17060,,4048923,4056251,+,protein_coding,non-ribosomal peptide synthetase,WP_003953783.1,,B5GPV2,Non-ribosomal peptide synthetase,SCLAV_2281
chromosome,CRV15_RS17055,,4045969,4048167,-,protein_coding,glycoside hydrolase domain-containing protein,WP_003953784.1,,B5GPV3,Putative peptidoglycan binding domain protein,SCLAV_2282
chromosome,CRV15_RS17050,,4045618,4045947,-,protein_coding,hypothetical protein,WP_003953785.1,,B5GPV4,Putative integral membrane protein,SCLAV_2283
chromosome,CRV15_RS17045,,4044912,4045601,-,protein_coding,twin-arginine translocation signal domain-containing protein,WP_003953786.1,,,,
chromosome,CRV15_RS17040,,4044648,4044875,+,protein_coding,hypothetical protein,WP_003953787.1,,B5GPV6,Uncharacterized protein,SCLAV_2285
chromosome,CRV15_RS17025,,4041435,4042046,-,protein_coding,hypothetical protein,WP_003953790.1,,B5GPV9,Uncharacterized protein,SCLAV_2288
chromosome,CRV15_RS17020,,4040734,4041054,+,protein_coding,hypothetical protein,WP_003953792.1,,B5GPW1,Uncharacterized protein,SCLAV_2290
chromosome,CRV15_RS17015,,4039767,4040609,-,protein_coding,helix-turn-helix transcriptional regulator,WP_003953793.1,,B5GPW2,DNA-binding protein,SCLAV_2291
chromosome,CRV15_RS17010,,4039591,4039788,-,protein_coding,DUF397 domain-containing protein,WP_003953794.1,,B5GPW3,Putative regulatory protein,SCLAV_2292
chromosome,CRV15_RS17005,,4039361,4039558,-,protein_coding,DUF397 domain-containing protein,WP_003953795.1,,B5GPW4,Putative regulatory protein,SCLAV_2293
chromosome,CRV15_RS16995,,4036610,4037401,+,protein_coding,SDR family NAD(P)-dependent oxidoreductase,WP_003953797.1,,B5GPW6,Oxidoreductase,SCLAV_2295
chromosome,CRV15_RS16985,,4034614,4035381,+,protein_coding,ABC transporter ATP-binding protein,WP_003953799.1,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ABC-type transporter activity [GO:0140359],B5GPW8,Putative ABC transporter ATP-binding protein,SCLAV_2297
chromosome,CRV15_RS16980,cbiQ,4033645,4034415,+,protein_coding,cobalt ECF transporter T component CbiQ,WP_003953800.1,P-type cobalt transporter activity [GO:0032778]; cobalt ion transport [GO:0006824]; plasma membrane [GO:0005886]; ATP-binding cassette (ABC) transporter complex [GO:0043190],B5GPW9,Integral membrane transport protein,SCLAV_2298
chromosome,CRV15_RS16970,,4031476,4031847,-,protein_coding,SsgA family sporulation/cell division regulator,WP_003953803.1,,B5GPX2,Cell division protein,SCLAV_2300
chromosome,CRV15_RS16965,,4029138,4031375,+,protein_coding,MMPL family transporter,WP_003953804.1,membrane [GO:0016020],B5GPX3,Putative transmembrane transport protein,SCLAV_2301
chromosome,CRV15_RS16960,,4028285,4028863,+,protein_coding,TetR/AcrR family transcriptional regulator,WP_003953805.1,DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355],B5GPX4,TetR-family transcriptional regulator,SCLAV_2302
chromosome,CRV15_RS16955,,4024579,4028025,-,protein_coding,S41 family peptidase,WP_003953806.1,serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508],B5GPX5,Tricorn protease homolog (EC 3.4.21.-),SCLAV_2303
chromosome,CRV15_RS16950,,4023025,4023915,+,protein_coding,SDR family oxidoreductase,WP_003953807.1,,B5GPX6,Short chain dehydrogenase,SCLAV_2304
chromosome,CRV15_RS16945,,4021961,4023028,+,protein_coding,alpha/beta hydrolase,WP_003953808.1,hydrolase activity [GO:0016787],,,
chromosome,CRV15_RS16940,,4020267,4021865,+,protein_coding,NAD(P)/FAD-dependent oxidoreductase,WP_003953809.1,flavin adenine dinucleotide binding [GO:0050660]; NADP binding [GO:0050661],B5GPX8,Monooxygenase,SCLAV_2306
chromosome,CRV15_RS16930,,4018409,4019260,+,protein_coding,exodeoxyribonuclease III,WP_003953811.1,,B5GPY0,Putative exodeoxyribonuclease (EC 3.1.11.2),SCLAV_2308 exoA
chromosome,CRV15_RS16915,,4015681,4016400,-,protein_coding,hypothetical protein,WP_003953814.1,,,,
chromosome,CRV15_RS16875,galU,4008500,4009402,+,protein_coding,UTP--glucose-1-phosphate uridylyltransferase GalU,WP_003953822.1,UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]; nucleotide-sugar metabolic process [GO:0009225],B5GPZ1,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase),SCLAV_2319
chromosome,CRV15_RS16865,,4004614,4007499,+,protein_coding,penicillin acylase family protein,WP_003953824.1,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]",,,
chromosome,CRV15_RS16860,,4002907,4004346,-,protein_coding,potassium/proton antiporter,WP_003953825.1,monoatomic cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]; membrane [GO:0016020],B5GPZ4,Putative sodium/proton antiporter,SCLAV_2322
chromosome,CRV15_RS16855,,4001290,4002594,-,protein_coding,MFS transporter,WP_003953826.1,transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085],,,
chromosome,CRV15_RS16850,,4000853,4001221,-,protein_coding,FmdB family zinc ribbon protein,WP_003953827.1,,,,
chromosome,CRV15_RS16845,,3999901,4000740,-,protein_coding,S-methyl-5'-thioadenosine phosphorylase,WP_003953828.1,S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]; nucleoside metabolic process [GO:0009116],,,
chromosome,CRV15_RS16825,,3996259,3997539,-,protein_coding,low temperature requirement protein A,WP_003953831.1,membrane [GO:0016020],B5GQ00,Integral membrane protein,SCLAV_2330
chromosome,CRV15_RS16820,,3995201,3996262,-,protein_coding,P1 family peptidase,WP_003953832.1,,B5GQ01,Peptidase S58 DmpA,SCLAV_2331
chromosome,CRV15_RS16815,,3994237,3995055,-,protein_coding,DUF6227 family protein,WP_003953833.1,,,,
chromosome,CRV15_RS16810,,3992576,3994132,+,protein_coding,MFS transporter,WP_003953834.1,,,,
chromosome,CRV15_RS16805,,3991377,3992339,-,protein_coding,YafY family protein,WP_003953835.1,,B5GQ04,DeoR-family transcriptional regulator,SCLAV_2334
chromosome,CRV15_RS16800,,3990317,3991318,+,protein_coding,sigma-70 family RNA polymerase sigma factor,WP_003953836.1,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355],B5GQ05,RNA polymerase sigma factor,SCLAV_2335 hrdD
chromosome,CRV15_RS16790,,3988435,3989316,+,protein_coding,class III extradiol ring-cleavage dioxygenase,WP_003953839.1,metal ion binding [GO:0046872]; dioxygenase activity [GO:0051213],B5GQ08,Extradiol ring-cleavage dioxygenase class III protein subunit B,SCLAV_2337
